,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,24:07,148,"1,347",464,0,19,36.4,196,4,355,184,7,24,696,1,95%,4,5,88.7%,362,34,1,12,8,1,81%,30/37,Panthers vs Knights,Panthers,2013
1,56%,30:42,184,"1,791",670,8,34,42.6,272,10,449,245,7,23,522,0,90%,2,6,92%,288,19,0,6,7,0,86%,36/42,Panthers vs Knights,Knights,2013
