,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,39:14,211,"1,930",740,3,29,43.9,163,3.3s,9,451,233,26,22,604,1,78%,2,4,90.5%,316,19,14,7,2,1,73%,32/44,Bulldogs vs Rabbitohs,Bulldogs,2015
1,34%,20:13,167,"1,497",474,4,19,38.4,192,3.87s,7,392,203,29,21,611,1,80%,2,4,91.2%,427,29,12,7,0,0,77%,30/39,Bulldogs vs Rabbitohs,Rabbitohs,2015
