,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,25:18,170,"1,542",553,4,36,41.7,141,10,417,235,10,17,402,3,83%,1,3,86.8%,309,31,0,16,4,1,73%,27/37,Knights vs Broncos,Knights,2014
1,53%,28:32,171,"1,675",498,7,31,49.3,171,9,396,210,13,20,553,1,79%,6,4,87.2%,341,36,1,14,8,0,85%,29/34,Knights vs Broncos,Broncos,2014
