,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:00,151,"1,483",522,4,21,41.2,197,10,327,159,6,18,472,71%,0,3,4,93.1%,308,11,12,8,75%,27/36,Cowboys vs Bulldogs,Cowboys,2013
1,48%,22:10,160,"1,472",519,5,11,37.8,172,9,363,190,8,19,557,77%,1,7,4,89.2%,272,21,12,6,77%,30/39,Cowboys vs Bulldogs,Bulldogs,2013
