,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,23:58,173,"1,619",515,7,28,46.3,215,3.81s,13,383,207,14,18,572,62%,3,0,89.8%,343,33,1,6,4,80%,28/35,Eels vs Cowboys,Eels,2015
1,53%,27:01,175,"1,673",558,4,33,46.5,164,3.95s,6,383,204,24,20,489,50%,5,4,86.8%,316,28,0,20,5,75%,27/36,Eels vs Cowboys,Cowboys,2015
