,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:08,154,"1,592",533,5,41,41.9,161,3.38s,8,363,197,18,17,416,0,50%,8,2,89.4%,339,34,6,10,8,0,6,0,68%,26/38,Panthers vs Eels,Panthers,2018
1,51%,27:12,160,"1,409",477,5,34,38.1,152,3.66s,4,356,184,11,18,414,1,79%,3,3,85.6%,315,41,12,11,10,1,8,2,73%,27/37,Panthers vs Eels,Eels,2018
