,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:52,148,"1,311",435,1,29,32,160,5,356,185,9,22,461,2,80%,3,8,86.7%,346,26,0,27,10,1,0,73%,30/41,Wests Tigers vs Titans,Wests Tigers,2014
1,57%,30:18,186,"1,635",574,2,25,38.9,149,19,444,229,10,22,587,1,81%,3,3,89.3%,283,28,1,6,8,1,1,83%,35/42,Wests Tigers vs Titans,Titans,2014
