,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:28,158,"1,650",500,2,15,42.3,203,2,381,207,2,20,642,1,83%,1,2,92.1%,352,17,0,13,8,1,74%,29/39,Wests Tigers vs Raiders,Wests Tigers,2013
1,55%,28:41,170,"1,559",444,2,18,38,174,10,383,195,6,22,801,3,100%,3,3,94%,344,16,2,6,6,1,76%,31/41,Wests Tigers vs Raiders,Raiders,2013
