,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:55,167,"1,691",561,2,18,43.4,206,8,382,200,4,17,402,2,100%,0,2,7,88.6%,333,22,0,21,11,69%,27/39,Rabbitohs vs Sharks,Rabbitohs,2013
1,53%,28:06,175,"1,683",536,2,22,42.1,106,20,417,233,5,16,375,0,100%,1,2,2,92.7%,342,18,1,9,5,63%,25/40,Rabbitohs vs Sharks,Sharks,2013
