,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,29:57,175,"1,354",351,2,26,33,175,3.57s,8,418,237,2,19,496,2,67%,1,4,91%,365,27,9,14,7,1,8,1,68%,28/41,Eels vs Panthers,Eels,2019
1,48%,27:38,171,"1,446",367,1,27,37.1,170,3.37s,5,388,205,7,20,621,1,80%,6,4,89.3%,368,26,18,10,9,1,6,1,74%,29/39,Eels vs Panthers,Panthers,2019
