,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:30,174,"1,648",590,4,29,40.2,138,3.47s,19,351,185,12,13,310,1,75%,0,4,6,88.1%,288,26,1,13,9,12,1,0,6,1,76%,31/41,Raiders vs Sea Eagles,Raiders,2019
1,48%,24:28,165,"1,411",524,1,26,40.3,76,3.52s,10,363,209,12,15,520,0,90%,1,4,2,82.7%,287,29,1,31,9,15,0,1,6,1,77%,27/35,Raiders vs Sea Eagles,Sea Eagles,2019
