,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,22:37,163,"1,528",507,3,14,40.2,94,4,407,225,14,22,531,71%,0,6,3,92.4%,364,20,10,6,79%,30/38,Sharks vs Dragons,Sharks,2014
1,60%,33:56,175,"1,687",609,1,20,41.2,169,6,416,211,11,24,658,76%,1,3,4,94.7%,340,14,5,6,80%,33/41,Sharks vs Dragons,Dragons,2014
