,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:41,145,"1,358",506,2,26,40,185,3.29s,11,338,182,26,16,375,2,83%,5,5,83.4%,366,61,12,12,5,0,7,1,76%,26/34,Wests Tigers vs Raiders,Wests Tigers,2018
1,58%,29:56,193,"1,883",608,8,61,47.1,221,3.02s,7,398,207,28,17,476,0,80%,4,3,86%,270,26,18,8,9,1,7,0,83%,33/40,Wests Tigers vs Raiders,Raiders,2018
