,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,23:59,151,"1,650",535,6,37,45.9,189,3.59s,7,350,178,27,20,412,0,33%,3,5,85.4%,310,24,1,29,8,7,8,86%,31/36,Storm vs Warriors,Storm,2018
1,49%,23:03,162,"1,463",482,3,24,41.8,137,3.38s,16,387,215,32,16,400,2,45%,3,3,86.9%,306,37,0,9,12,5,8,71%,25/35,Storm vs Warriors,Warriors,2018
