,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,28:49,181,"1,606",462,3,20,42.3,189,3.37s,19,410,220,16,23,565,3,70%,0,1,7,89.9%,337,21,17,6,6,1,8,84%,32/38,Wests Tigers vs Roosters,Wests Tigers,2018
1,48%,26:36,172,"1,434",477,3,21,37.7,161,3.3s,10,380,202,6,19,546,2,90%,1,5,2,86%,339,20,35,12,9,0,8,68%,26/38,Wests Tigers vs Roosters,Roosters,2018
