,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:20,186,"1,719",630,7,30,38.2,239,13,422,219,28,23,579,1,82%,6,5,87.4%,277,26,1,14,6,0,0,84%,38/45,Broncos vs Bulldogs,Broncos,2014
1,44%,22:16,140,"1,260",452,3,26,37.1,181,9,313,158,8,16,447,0,82%,3,3,86.5%,321,30,0,20,12,2,1,62%,21/34,Broncos vs Bulldogs,Bulldogs,2014
