,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,78%,33:28,177,"1,880",588,15,43,44.8,308,8,444,260,19,14,389,1,100%,2,4,91.7%,198,11,1,7,5,71%,30/42,Cowboys vs Wests Tigers,Cowboys,2014
1,22%,09:26,91,778,287,1,11,31.1,42,5,218,123,17,11,233,0,82%,1,4,87.1%,358,43,1,10,6,60%,15/25,Cowboys vs Wests Tigers,Wests Tigers,2014
