,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:40,198,"1,787",437,7,63,45.8,233,3.64s,12,399,211,17,20,447,1,78%,1,5,89.4%,279,20,13,9,7,0,8,79%,31/39,Storm vs Sea Eagles,Storm,2017
1,45%,23:28,148,"1,271",382,1,20,38.5,158,3.53s,7,332,183,11,17,452,1,67%,4,6,78.8%,301,63,18,9,7,1,8,79%,26/33,Storm vs Sea Eagles,Sea Eagles,2017
