,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:20,166,"1,548",564,2,36,38.7,206,3.36s,6,414,224,22,26,568,0,88%,5,7,89.3%,357,37,0,6,7,6,1,8,2,83%,33/40,Dragons vs Eels,Dragons,2018
1,49%,28:11,168,"1,598",543,3,37,40,229,3.62s,2,415,223,20,27,703,4,62%,3,3,88.5%,393,36,1,15,9,10,0,8,2,83%,33/40,Dragons vs Eels,Eels,2018
