,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:10,181,"1,658",322,6,33,40.4,223,3.47s,19,447,263,9,20,414,2,55%,0,7,7,87.9%,357,31,0,18,14,3,8,73%,30/41,Sharks vs Roosters,Sharks,2019
1,49%,27:03,173,"1,580",309,5,31,41.6,103,3.5s,10,412,210,5,23,613,1,85%,1,4,4,83.3%,304,33,2,28,14,6,8,68%,26/38,Sharks vs Roosters,Roosters,2019
