,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,30:01,169,"1,765",658,2,41,42,178,3.51s,6,429,231,30,23,489,2,64%,5,10,88.5%,317,35,6,10,10,1,8,0,86%,36/42,Sea Eagles vs Knights,Sea Eagles,2018
1,45%,24:34,161,"1,553",516,3,35,43.1,158,3.49s,3,360,192,33,19,413,1,71%,4,6,88.3%,379,42,8,6,11,1,8,2,83%,30/36,Sea Eagles vs Knights,Knights,2018
