,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:45,185,"1,581",498,1,19,46.5,216,3.17s,15,455,266,23,24,399,2,56%,6,11,92.3%,336,21,0,7,9,5,8,79%,27/34,Cowboys vs Storm,Cowboys,2016
1,51%,27:50,174,"1,514",457,5,21,38.8,243,3.21s,4,407,214,19,26,669,5,71%,1,10,91%,364,19,1,17,8,6,8,82%,32/39,Cowboys vs Storm,Storm,2016
