,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,25:13,167,"1,520",502,3,21,39,167,3.43s,7,367,201,32,16,491,1,86%,2,3,86.1%,266,31,1,12,9,10,1,8,0,77%,30/39,Storm vs Titans,Storm,2018
1,47%,22:22,153,"1,399",387,3,31,38.9,155,3.24s,9,355,207,21,16,473,1,100%,3,4,92.1%,359,21,0,10,8,10,0,7,2,83%,30/36,Storm vs Titans,Titans,2018
