,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:04,179,"1,663",556,4,31,41.6,206,9,420,225,6,25,650,4,91%,3,10,92.2%,284,16,1,8,4,0,88%,35/40,Panthers vs Warriors,Panthers,2014
1,50%,24:04,137,"1,333",442,1,16,43,216,5,326,186,8,16,536,1,100%,6,1,90.1%,372,32,0,9,5,1,61%,19/31,Panthers vs Warriors,Warriors,2014
