,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,33:45,209,"1,821",579,3,20,37.2,230,3.37s,8,478,256,53,28,638,3,78%,7,13,83.5%,391,42,0,35,10,5,0,10,84%,41/49,Storm vs Sea Eagles,Storm,2019
1,48%,31:10,231,"1,862",546,2,42,44.3,176,3.73s,22,488,265,24,22,632,2,87%,5,7,91.6%,361,20,1,13,12,8,1,10,74%,31/42,Storm vs Sea Eagles,Sea Eagles,2019
