,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,29:23,189,"1,776",505,2,33,48,169,3.61s,21,439,240,17,23,504,4,90%,4,7,82.7%,334,42,28,13,8,1,1,7,76%,28/37,Eels vs Bulldogs,Eels,2019
1,47%,26:04,170,"1,491",414,5,42,41.4,204,3.61s,16,403,225,13,17,463,2,75%,5,5,84.5%,337,33,29,10,7,1,1,8,75%,27/36,Eels vs Bulldogs,Bulldogs,2019
