,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:58,161,"1,282",491,2,25,37.7,136,3.47s,11,357,173,28,22,609,1,85%,7,3,89.4%,339,34,6,10,6,8,68%,23/34,Titans vs Broncos,Titans,2016
1,51%,27:02,172,"1,616",546,6,34,43.7,225,3.76s,6,391,207,32,20,454,1,77%,7,6,88.1%,332,25,20,8,3,7,78%,29/37,Titans vs Broncos,Broncos,2016
