,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,22:32,136,"1,248",397,6,19,34.7,155,3.8s,4,289,139,18,16,436,0,67%,1,3,92.2%,353,20,10,6,78%,28/36,Panthers vs Sea Eagles,Panthers,2015
1,52%,24:25,164,"1,234",422,1,20,33.4,191,3.91s,7,384,205,19,24,657,4,83%,4,6,91.9%,282,19,6,8,84%,31/37,Panthers vs Sea Eagles,Sea Eagles,2015
