,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,25:47,163,"1,692",521,10,28,37.6,153,13,370,196,5,17,519,0,91%,2,5,92.9%,274,9,0,12,11,0,0,71%,32/45,Titans vs Raiders,Titans,2013
1,45%,21:05,141,"1,195",373,1,9,30.7,100,9,319,169,2,15,349,1,80%,2,6,87%,300,28,2,17,11,1,1,59%,23/39,Titans vs Raiders,Raiders,2013
