,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:35,171,"1,509",423,4,25,43.1,223,3.62s,9,358,184,5,21,718,0,92%,1,4,2,92.1%,373,21,1,11,6,7,8,80%,28/35,Raiders vs Broncos,Raiders,2019
1,52%,28:48,179,"1,590",458,5,21,41.8,211,3.6s,7,396,212,7,23,689,2,57%,0,10,7,87.7%,322,25,1,20,7,6,7,84%,32/38,Raiders vs Broncos,Broncos,2019
