,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,21:49,181,"1,512",475,4,17,39.8,118,3.68s,11,400,218,19,16,399,1,50%,3,6,88.4%,296,30,1,9,7,1,71%,27/38,Eels vs Rabbitohs,Eels,2015
1,56%,27:46,163,"1,215",365,2,30,32,157,3.89s,7,336,178,23,16,453,2,88%,3,2,91.5%,364,17,0,17,9,1,68%,26/38,Eels vs Rabbitohs,Rabbitohs,2015
