,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,73%,39:31,204,"1,890",694,4,38,45,219,3.78s,18,464,253,39,23,598,3,88%,6,8,93.2%,303,8,1,14,7,1,83%,35/42,Warriors vs Raiders,Warriors,2015
1,27%,14:37,133,"1,262",492,1,8,37.1,51,3.96s,8,325,176,15,19,570,0,85%,4,4,86%,405,38,0,28,9,0,79%,27/34,Warriors vs Raiders,Raiders,2015
