,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:30,161,"1,474",500,7,29,42.1,153,15,417,243,13,20,693,2,100%,0,3,4,88.4%,304,23,17,8,80%,28/35,Raiders vs Storm,Raiders,2014
1,49%,25:28,160,"1,543",522,6,23,38.6,186,9,362,186,5,19,596,1,100%,1,5,3,85.7%,287,29,19,6,70%,28/40,Raiders vs Storm,Storm,2014
