,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:34,172,"1,549",408,2,27,46.9,155,3.43s,17,375,206,30,16,417,75%,4,3,84.5%,327,40,1,20,8,5,8,76%,25/33,Sea Eagles vs Dragons,Sea Eagles,2017
1,52%,27:42,185,"1,740",475,4,40,47,125,3.49s,15,410,213,11,23,736,73%,4,2,85.9%,311,27,0,24,6,4,8,86%,32/37,Sea Eagles vs Dragons,Dragons,2017
