,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:59,204,"1,654",611,1,15,42.4,171,3.77s,13,461,253,38,21,535,1,85%,4,4,91.9%,340,21,9,2,79%,31/39,Broncos vs Storm,Broncos,2015
1,47%,25:43,164,"1,651",546,3,21,44.6,217,4.15s,5,379,198,19,23,540,3,90%,5,7,91.3%,398,15,23,8,78%,29/37,Broncos vs Storm,Storm,2015
