,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:08,182,"1,783",655,6,27,50.9,199,3.84s,11,403,213,15,21,577,0,75%,4,2,90.7%,291,16,14,4,74%,26/35,Bulldogs vs Dragons,Bulldogs,2015
1,44%,22:54,162,"1,469",472,3,16,43.2,170,3.75s,10,359,196,20,20,563,1,91%,0,5,89.4%,354,27,15,2,76%,26/34,Bulldogs vs Dragons,Dragons,2015
