,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,28:19,184,"1,594",561,3,19,43.1,207,10,433,242,12,20,322,5,92%,3,9,83.1%,285,29,29,4,0,76%,28/37,Warriors vs Sharks,Warriors,2014
1,42%,20:30,150,"1,297",377,3,29,40.6,97,17,380,208,11,19,416,3,87%,2,9,91.7%,344,19,12,8,2,72%,23/32,Warriors vs Sharks,Sharks,2014
