,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:50,195,"1,564",556,2,22,39.1,139,3.62s,11,418,228,6,19,286,2,80%,7,7,86.9%,306,29,17,15,5,0,8,70%,28/40,Cowboys vs Sea Eagles,Cowboys,2019
1,53%,28:01,179,"1,570",576,3,29,42.4,109,3.5s,12,392,218,9,14,404,2,67%,2,4,89%,331,22,19,14,8,1,7,73%,27/37,Cowboys vs Sea Eagles,Sea Eagles,2019
