,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,34:57,185,"1,646",588,1,26,36.6,312,14,410,191,15,28,832,95%,11,4,88.9%,351,29,2,15,6,1,76%,34/45,Titans vs Broncos,Titans,2014
1,39%,22:21,174,"1,703",544,3,29,40.6,168,5,385,187,18,24,688,73%,7,6,87.9%,357,26,0,23,6,0,74%,31/42,Titans vs Broncos,Broncos,2014
