,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:57,153,"1,564",462,2,30,36.4,189,3.64s,7,362,202,9,17,460,3,100%,0,4,92.3%,287,21,3,16,7,0,8,0,67%,29/43,Roosters vs Knights,Roosters,2018
1,51%,23:53,138,"1,180",373,2,21,34.7,165,3.59s,2,328,183,11,14,417,0,25%,3,2,88%,302,30,11,11,10,1,7,2,68%,23/34,Roosters vs Knights,Knights,2018
