,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:50,173,"1,399",465,2,18,41.2,162,3.61s,8,383,203,4,21,588,1,78%,1,9,3,84.8%,302,37,17,10,6,8,74%,25/34,Cowboys vs Storm,Cowboys,2019
1,47%,23:47,155,"1,408",464,4,37,39.1,235,3.38s,10,354,182,10,20,592,4,67%,0,5,3,91.5%,335,18,13,13,5,8,67%,24/36,Cowboys vs Storm,Storm,2019
