,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:05,187,"1,823",618,3,40,49.3,188,3.58s,20,395,208,27,17,429,0,100%,3,4,85.6%,346,37,21,11,6,1,8,68%,25/37,Dragons vs Wests Tigers,Dragons,2017
1,49%,27:57,179,"1,698",489,3,37,47.2,198,3.55s,12,413,225,25,18,433,1,67%,3,4,82.4%,332,40,31,15,4,0,6,67%,24/36,Dragons vs Wests Tigers,Wests Tigers,2017
