,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,27:47,196,"1,781",424,6,35,49.5,269,3.49s,8,416,232,30,17,438,2,75%,4,1,90.9%,260,21,5,5,4,8,0,86%,31/36,Warriors vs Titans,Warriors,2017
1,45%,22:43,142,"1,233",331,5,21,42.5,87,3.51s,5,340,189,17,18,524,0,82%,2,2,88.2%,337,35,10,6,5,8,1,83%,24/29,Warriors vs Titans,Titans,2017
