,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:00,179,"1,648",595,3,23,42.3,179,3.35s,12,429,234,48,22,553,2,64%,7,7,92.4%,291,14,10,6,3,0,8,87%,34/39,Broncos vs Bulldogs,Broncos,2018
1,43%,21:52,141,"1,380",478,2,14,44.5,142,3.3s,5,321,165,16,18,493,2,57%,4,2,89.5%,331,23,16,10,8,1,8,77%,24/31,Broncos vs Bulldogs,Bulldogs,2018
