,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:56,176,"1,628",570,2,27,39.7,254,3.72s,12,389,199,33,22,510,60%,3,9,88.1%,319,25,1,18,6,0,71%,29/41,Sharks vs Titans,Sharks,2015
1,50%,25:56,164,"1,504",496,2,25,40.7,196,3.61s,9,366,184,32,19,480,69%,2,6,87.7%,341,27,1,21,10,2,68%,25/37,Sharks vs Titans,Titans,2015
