,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:05,191,"1,855",630,9,40,44.2,169,3.38s,9,436,242,27,20,441,2,100%,1,8,91.7%,343,16,0,15,11,5,6,4,81%,34/42,Roosters vs Wests Tigers,Roosters,2017
1,46%,24:46,152,"1,474",506,4,16,43.4,152,3.03s,9,362,192,11,18,569,0,67%,4,1,87.7%,371,41,1,11,12,5,8,0,76%,26/34,Roosters vs Wests Tigers,Wests Tigers,2017
