,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:59,150,"1,502",447,6,18,39.5,191,12,324,176,14,17,675,2,91%,1,3,90.2%,367,25,1,15,15,1,76%,29/38,Titans vs Cowboys,Titans,2013
1,48%,23:03,179,"1,637",572,2,25,36.4,213,9,396,213,19,18,350,0,93%,2,7,87%,281,18,0,24,8,0,76%,34/45,Titans vs Cowboys,Cowboys,2013
