,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,36%,18:57,165,"1,552",543,6,29,40.9,148,14,385,193,9,19,608,1,91%,1,5,0,83.6%,291,27,0,30,7,66%,25/38,Eels vs Wests Tigers,Eels,2014
1,64%,33:41,168,"1,698",574,2,27,47.2,122,14,379,196,9,17,363,0,86%,0,8,4,84.8%,285,29,2,22,5,75%,27/36,Eels vs Wests Tigers,Wests Tigers,2014
