,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:55,172,"1,410",396,2,32,39.2,136,3.16s,14,387,216,22,17,381,1,83%,5,2,86.8%,302,31,15,8,6,8,78%,28/36,Panthers vs Sharks,Panthers,2016
1,47%,23:53,169,"1,578",483,6,31,41.5,175,3.08s,9,355,189,10,17,532,2,50%,2,2,85%,290,32,19,8,10,7,71%,27/38,Panthers vs Sharks,Sharks,2016
