,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:12,161,"1,778",586,4,22,42.3,207,11,423,238,10,21,411,1,82%,9,4,87.3%,276,24,1,16,7,60%,25/42,Sea Eagles vs Sharks,Sea Eagles,2014
1,42%,21:08,149,"1,347",463,1,24,36.4,59,8,373,205,8,14,355,0,100%,5,0,88.9%,288,22,0,14,4,62%,23/37,Sea Eagles vs Sharks,Sharks,2014
