,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,30:18,212,"1,980",617,6,47,47.1,243,3.23s,20,431,221,28,18,438,3,100%,2,4,91.1%,298,13,3,16,12,4,8,0,74%,31/42,Dragons vs Panthers,Dragons,2017
1,41%,21:03,147,"1,309",386,2,13,40.9,99,3.42s,7,316,167,25,11,330,0,78%,2,2,83.8%,366,47,0,24,14,7,7,2,59%,19/32,Dragons vs Panthers,Panthers,2017
