,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,31:23,164,"1,768",630,4,46,46.5,273,14,389,204,20,19,451,2,93%,2,3,91.5%,281,17,0,9,7,74%,28/38,Sharks vs Eels,Sharks,2013
1,39%,20:04,137,"1,326",430,3,17,40.2,136,8,353,199,13,18,518,1,71%,2,4,83.4%,322,46,1,18,9,85%,28/33,Sharks vs Eels,Eels,2013
