,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:12,171,"1,588",587,6,24,39.7,170,10,410,225,19,17,454,0,69%,1,3,91.1%,256,12,0,13,9,0,78%,31/40,Bulldogs vs Sharks,Bulldogs,2014
1,44%,21:23,144,"1,342",474,2,12,38.4,156,7,373,217,22,18,342,2,83%,4,8,88.5%,317,24,1,17,8,2,77%,27/35,Bulldogs vs Sharks,Sharks,2014
