,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,28:06,176,"1,663",606,4,28,38.7,227,3.63s,5,472,275,12,23,506,6,56%,2,13,93%,254,13,6,10,3,8,0,77%,33/43,Cowboys vs Warriors,Cowboys,2016
1,39%,17:57,116,"1,019",398,3,13,34,56,3.42s,3,304,170,8,16,403,0,60%,3,4,91.5%,366,28,6,13,6,7,2,57%,17/30,Cowboys vs Warriors,Warriors,2016
