,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:36,164,"1,377",512,4,29,36.3,130,7,389,202,23,21,637,2,64%,2,7,84.8%,290,40,0,12,4,84%,32/38,Cowboys vs Raiders,Cowboys,2013
1,46%,22:40,147,"1,249",425,1,40,33.8,262,9,376,200,11,20,503,3,88%,3,3,88.8%,326,29,1,12,8,65%,24/37,Cowboys vs Raiders,Raiders,2013
