,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,35:56,190,"1,876",591,4,16,44.7,228,3.59s,6,488,276,26,27,539,2,89%,3,6,93.6%,351,13,2,11,2,79%,33/42,Cowboys vs Bulldogs,Cowboys,2015
1,37%,21:06,175,"1,516",547,3,13,39.9,186,3.69s,6,398,212,13,22,662,1,60%,4,4,93.2%,381,16,1,12,4,71%,27/38,Cowboys vs Bulldogs,Bulldogs,2015
