,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:41,196,"1,835",434,3,34,45.9,149,3.31s,11,468,264,20,27,611,77%,7,8,88%,360,27,22,7,5,7,85%,34/40,Titans vs Cowboys,Titans,2019
1,49%,28:32,177,"1,541",333,3,27,42.8,158,3.46s,14,386,193,12,25,650,67%,8,7,88.2%,375,34,16,9,7,8,89%,32/36,Titans vs Cowboys,Cowboys,2019
