,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,20:37,143,"1,285",426,3,14,34.7,151,3.91s,12,320,174,25,14,471,1,100%,3,2,85.6%,350,44,15,11,1,62%,23/37,Titans vs Rabbitohs,Titans,2015
1,53%,23:14,183,"1,587",553,5,44,37.8,176,3.82s,9,417,238,31,15,369,5,83%,4,5,88.6%,265,14,20,6,0,74%,31/42,Titans vs Rabbitohs,Rabbitohs,2015
