,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:32,196,"1,767",415,4,41,43.1,227,3.39s,13,421,241,20,15,312,2,64%,1,4,2,88.1%,332,37,0,8,16,9,0,6,66%,27/41,Panthers vs Roosters,Panthers,2019
1,48%,24:29,155,"1,351",332,2,37,37.5,51,3.39s,6,380,218,1,17,475,1,71%,0,8,2,84.5%,343,41,1,22,12,9,1,8,69%,25/36,Panthers vs Roosters,Roosters,2019
