,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:23,155,"1,437",507,6,33,32.7,144,3,365,199,9,14,429,1,83%,1,3,95%,305,14,2,5,66%,29/44,Rabbitohs vs Wests Tigers,Rabbitohs,2014
1,50%,25:23,128,"1,221",454,2,14,33.9,204,2,320,166,6,18,426,2,69%,4,3,89%,315,33,6,9,67%,24/36,Rabbitohs vs Wests Tigers,Wests Tigers,2014
