,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:17,174,"1,559",515,1,15,35.4,164,3.64s,8,385,196,17,24,723,0,53%,7,4,88%,345,23,1,24,9,4,0,6,1,80%,35/44,Dragons vs Roosters,Dragons,2016
1,51%,27:22,186,"1,628",530,3,23,40.7,134,3.3s,18,425,223,12,24,504,1,56%,10,3,89.9%,355,15,0,25,14,8,3,7,6,68%,27/40,Dragons vs Roosters,Roosters,2016
