,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:10,172,"1,587",578,5,30,44.1,164,3.54s,7,392,216,40,18,436,2,100%,4,8,93.8%,285,14,0,5,9,8,8,81%,29/36,Cowboys vs Knights,Cowboys,2017
1,44%,21:21,142,"1,211",336,3,14,34.6,215,3.39s,4,296,156,16,19,374,2,82%,6,5,89.1%,358,30,1,14,8,10,8,77%,27/35,Cowboys vs Knights,Knights,2017
