,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,30:49,201,"1,921",695,8,32,44.7,160,3.23s,19,465,273,23,20,355,2,57%,2,11,88.1%,236,16,16,7,7,0,7,0,88%,38/43,Cowboys vs Eels,Cowboys,2018
1,36%,17:20,120,"1,069",406,1,16,36.9,70,3.13s,8,265,138,9,13,356,0,64%,4,1,87%,396,32,27,11,13,1,7,2,69%,20/29,Cowboys vs Eels,Eels,2018
