,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,21:53,146,"1,299",438,2,18,35.1,167,5,339,178,9,17,439,2,100%,2,6,93.1%,363,19,8,5,65%,24/37,Roosters vs Storm,Roosters,2014
1,51%,22:46,163,"1,458",532,2,19,39.4,234,5,370,189,15,23,581,5,86%,1,11,92.2%,308,18,8,5,73%,27/37,Roosters vs Storm,Storm,2014
